,Make,Model,Variant,Car,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,ARAI_Certified_Mileage,Fuel_System,Fuel_Type,Body_Type,Doors,Power,Torque,Seating_Capacity,Seats_Material,Type,Wheelbase,Start_/_Stop_Button,Ventilation_System,Number_of_Airbags,Parking_Assistance,Infotainment_Screen
941,Honda,Wr-V,Vx Petrol,Honda Wr-V Vx Petrol,925000,1199 cc,4.0,FWD (Front Wheel Drive),17.5,Injection,Petrol,SUV,5.0,90PS@6000rpm,110Nm@4800rpm,5.0,Fabric,Manual,2555 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
942,Honda,Wr-V,S Diesel,Honda Wr-V S Diesel,925000,1498 cc,4.0,FWD (Front Wheel Drive),25.5,Injection,Diesel,SUV,5.0,100PS@3600rpm,200Nm@1750rpm,5.0,Fabric,Manual,2555 mm,Yes,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
943,Honda,Wr-V,S Petrol,Honda Wr-V S Petrol,815000,1199 cc,4.0,FWD (Front Wheel Drive),17.5,Injection,Petrol,SUV,5.0,90PS@6000rpm,110Nm@4800rpm,5.0,Fabric,Manual,2555 mm,Yes,Fully automatic climate control,2.0,Rear sensors,
944,Honda,Wr-V,Edge Plus Edition Diesel,Honda Wr-V Edge Plus Edition Diesel,916050,1498 cc,4.0,FWD (Front Wheel Drive),25.5,Injection,Diesel,SUV,5.0,100PS@3600rpm,200Nm@1750rpm,5.0,Fabric,Manual,2555 mm,Yes,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
945,Honda,Wr-V,Edge Plus Edition Petrol,Honda Wr-V Edge Plus Edition Petrol,808050,1199 cc,4.0,FWD (Front Wheel Drive),17.5,Injection,Petrol,SUV,5.0,90PS@6000rpm,110Nm@4800rpm,5.0,Fabric,Manual,2555 mm,Yes,Fully automatic climate control,2.0,Rear sensors,
947,Honda,Wr-V,Exclusive Edition Petrol,Honda Wr-V Exclusive Edition Petrol,935050,1199 cc,4.0,FWD (Front Wheel Drive),17.5,Injection,Petrol,SUV,5.0,90PS@6000rpm,110Nm@4800rpm,5.0,Fabric,Manual,2555 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
949,Mahindra,Tuv300,T4 Plus,Mahindra Tuv300 T4 Plus,854328,1493 cc,3.0,RWD (Rear Wheel Drive),18.49,Injection,Diesel,SUV,5.0,84PS@3750RPM,240Nm@1600-2800rpm,7.0,Fabric,Manual,2680 mm,,Manual Air conditioning with cooling and heating,2.0,,
950,Mahindra,Tuv300,T6 Plus,Mahindra Tuv300 T6 Plus,914328,1493 cc,3.0,RWD (Rear Wheel Drive),18.49,Injection,Diesel,SUV,5.0,84PS@3750RPM,240Nm@1600-2800rpm,7.0,Fabric,Manual,2680 mm,,Manual Air conditioning with cooling and heating,2.0,,Yes
951,Mahindra,Tuv300,T8,Mahindra Tuv300 T8,976592,1493 cc,3.0,RWD (Rear Wheel Drive),18.49,Injection,Diesel,SUV,5.0,84PS@3750RPM,240Nm@1600-2800rpm,7.0,Fabric,Manual,2680 mm,,Manual Air conditioning with cooling and heating,2.0,,Yes
952,Mahindra,Tuv300,T10,Mahindra Tuv300 T10,999614,1493 cc,3.0,RWD (Rear Wheel Drive),18.49,Injection,Diesel,SUV,5.0,100PS@3750RPM,240Nm@1500-2250rpm,7.0,Fabric,Manual,2680 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
953,Mahindra,Tuv300,T10 (O),Mahindra Tuv300 T10 (O),1031943,1493 cc,3.0,RWD (Rear Wheel Drive),18.49,Injection,Diesel,SUV,5.0,100PS@3750RPM,240Nm@1500-2250rpm,7.0,Leather,Manual,2680 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
954,Mahindra,Tuv300,T10 Dual Tone,Mahindra Tuv300 T10 Dual Tone,1022930,1493 cc,3.0,RWD (Rear Wheel Drive),18.49,Injection,Diesel,SUV,5.0,100PS@3750RPM,240Nm@1500-2250rpm,7.0,Fabric,Manual,2680 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
955,Mahindra,Tuv300,T10 (O) Dual Tone,Mahindra Tuv300 T10 (O) Dual Tone,1055259,1493 cc,3.0,RWD (Rear Wheel Drive),18.49,Injection,Diesel,SUV,5.0,100PS@3750RPM,240Nm@1500-2250rpm,7.0,Leather,Manual,2680 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
956,Maruti Suzuki,S-Cross,1.3L Sigma,Maruti Suzuki S-Cross 1.3L Sigma,880689,1248 cc,4.0,FWD (Front Wheel Drive),23.65,Injection,Diesel,Crossover,5.0,90PS@4000rpm,200Nm@1750rpm,5.0,Fabric,Manual,2600 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
957,Maruti Suzuki,S-Cross,1.3L Delta,Maruti Suzuki S-Cross 1.3L Delta,992689,1248 cc,4.0,FWD (Front Wheel Drive),23.65,Injection,Diesel,Crossover,5.0,90PS@4000rpm,200Nm@1750rpm,5.0,Fabric,Manual,2600 mm,Yes,Fully automatic climate control,2.0,Rear sensors,
958,Maruti Suzuki,S-Cross,1.3L Zeta,Maruti Suzuki S-Cross 1.3L Zeta,1043689,1248 cc,4.0,FWD (Front Wheel Drive),23.65,Injection,Diesel,Crossover,5.0,90PS@4000rpm,200Nm@1750rpm,5.0,Fabric,Manual,2600 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
959,Maruti Suzuki,S-Cross,1.3L Alpha,Maruti Suzuki S-Cross 1.3L Alpha,1143689,1248 cc,4.0,FWD (Front Wheel Drive),23.65,Injection,Diesel,Crossover,5.0,90PS@4000rpm,200Nm@1750rpm,5.0,Leather,Manual,2600 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
960,Renault,Captur,Rxe Petrol,Renault Captur Rxe Petrol,949999,1498 cc,4.0,FWD (Front Wheel Drive),13.86,Injection,Petrol,SUV,5.0,106PS@5600rpm,142Nm@4000rpm,5.0,Fabric,Manual,2673 mm,Yes,Fully automatic climate control,2.0,Rear sensors,
961,Renault,Captur,Rxe Diesel,Renault Captur Rxe Diesel,1049999,1461 cc,4.0,FWD (Front Wheel Drive),20.37,Injection,Diesel,SUV,5.0,110PS@3850rpm,240Nm@1750rpm,5.0,Fabric,Manual,2673 mm,Yes,Fully automatic climate control,2.0,Rear sensors,
962,Renault,Captur,Platine Diesel Dual Tone,Renault Captur Platine Diesel Dual Tone,1299999,1461 cc,4.0,FWD (Front Wheel Drive),20.37,Injection,Diesel,SUV,5.0,110PS@3850rpm,240Nm@1750rpm,5.0,Leather,Manual,2673 mm,Yes,Fully automatic climate control,4.0,Rear sensors with camera,Touch Sensitive
963,Renault,Captur,Platine Petrol Dual Tone,Renault Captur Platine Petrol Dual Tone,1199999,1498 cc,4.0,FWD (Front Wheel Drive),13.86,Injection,Petrol,SUV,5.0,106PS@5600rpm,142Nm@4000rpm,5.0,Leather,Manual,2673 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
964,Mahindra,Xylo,D2 Bs-Iv,Mahindra Xylo D2 Bs-Iv,963037,2489 cc,4.0,FWD (Front Wheel Drive),13.9,Injection,Diesel,SUV,5.0,95PS@3600rpm,218Nm@1400-2600rpm,7.0,Fabric,Manual,2760 mm,,Manual Air conditioning with cooling and heating,,,
965,Mahindra,Xylo,D4 Bs-Iv,Mahindra Xylo D4 Bs-Iv,1004487,2489 cc,4.0,FWD (Front Wheel Drive),13.9,Injection,Diesel,SUV,5.0,95PS@3600rpm,218Nm@1400-2600rpm,7.0,Fabric,Manual,2760 mm,,Manual Air conditioning with cooling and heating,,,
966,Mahindra,Xylo,H4 Bs-Iv,Mahindra Xylo H4 Bs-Iv,1031951,2179 cc,4.0,FWD (Front Wheel Drive),14.02,Injection,Diesel,SUV,5.0,120PS@4000RPM,280Nm@2400-2800rpm,7.0,Fabric,Manual,2760 mm,,Manual Air conditioning with cooling and heating,,,
967,Mahindra,Xylo,H4 Abs Bs-Iv,Mahindra Xylo H4 Abs Bs-Iv,1066139,2179 cc,4.0,FWD (Front Wheel Drive),14.02,Injection,Diesel,SUV,5.0,120PS@4000RPM,280Nm@2400-2800rpm,7.0,Fabric,Manual,2760 mm,,Manual Air conditioning with cooling and heating,,,
968,Mahindra,Xylo,H8 Abs Airbags Bs-Iv,Mahindra Xylo H8 Abs Airbags Bs-Iv,1228335,2179 cc,4.0,FWD (Front Wheel Drive),14.02,Injection,Diesel,SUV,5.0,121PS@4000rpm,280Nm@2400-2800rpm,8.0,Fabric,Manual,2760 mm,,Manual Air conditioning with cooling and heating,2.0,,
969,Kia,Seltos,Hte 1.5,Kia Seltos Hte 1.5,989000,1497 cc,4.0,FWD (Front Wheel Drive),16.8,Injection,Petrol,SUV,5.0,115PS@6300rpm,144Nm@4500 rpm,5.0,Fabric,Manual,2610 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
980,Kia,Seltos,Gtk 1.4,Kia Seltos Gtk 1.4,1379000,1353 cc,4.0,FWD (Front Wheel Drive),16.1,Injection,Petrol,SUV,5.0,140PS@6000RPM,242Nm@1500-3200rpm,5.0,Fabric,Manual,2610 mm,,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
